country_name;ccode;facility_name;facility_ambiguity;enr_type;size;construction_start;construction_end;operation_start;operation_end;operation2_start;operation2_end;covert;iaea;regional;military;military_ambiguity;multinational;foreign_assistance;foreign_assistance_ambiguity;;;
Algeria;615;Hot cell facility at Ain Oussera;0;1;1;1986;1992;1992;7777;NA;NA;1;1;0;0;1;0;1;0;;;
Argentina;160;Ezeiza – SF Reprocessing Facility;0;1;1;1968;1968;1968;1973;NA;NA;0;0;0;0;1;0;0;1;;;
Argentina;160;Ezeiza II – SF Reprocessing Facility;-77;1;2;1978;1990;9999;9999;NA;NA;0;0;1;0;0;0;0;1;;;
Argentina;160;Pilcaniyeu Enrichment Facility I;0;2;2;1979;1987;1987;1994;NA;NA;1;0;1;1;0;0;0;1;;;
Argentina;160;Pilcaniyeu Enrichment Facility II;-77;2;2;2000;9999;9999;9999;NA;NA;0;1;1;0;0;0;0;1;;;
Australia;900;Lucas Heights;0;3;1;1965;1972;1972;1983;NA;NA;0;1;0;0;1;0;0;0;;;
Australia;900;Silex Laser Enrichment Facility at Lucas Heights Science and Technology Complex;0;7;1;1982;1992;1992;2007;NA;NA;0;1;0;0;0;1;1;1;;;
Belgium;211;Mol, Purex Reprocessing Facility, Eurochemic;0;1;2;1960;1966;1966;1974;NA;NA;0;1;1;0;0;1;1;0;;;
Brazil;140;Aerospace Technical Center (Institute of Advanced Studies);0;7;1;1975;1981;1981;1989;NA;NA;1;0;0;1;0;0;0;0;;;
Brazil;140;BRF Enrichment – Aramar Demonstration Center, Ipero, Sao Paolo;0;3;2;1987;1998;1998;7777;NA;NA;1;1;1;1;0;0;0;1;;;
Brazil;140;BRN Enrichment (Aramar Isotopic Enrichment Lab) Ipero, Sao Paulo;0;3;1;1976;1988;1988;7777;NA;NA;1;1;1;1;0;0;1;0;;;
Brazil;140;INB Resende – Commercial Enrichment Facility, Rio De Janeiro;0;3;3;2000;2005;2005;7777;NA;NA;0;1;1;1;1;0;0;1;;;
Brazil;140;INB Resende –Pilot Enrichment Facility, Rio De Janeiro;0;6;2;1982;1985;1985;1994;NA;NA;0;1;1;0;0;0;1;0;;;
Brazil;140;IPEN – Reprocessing;0;1;1;1960;1982;1982;1989;NA;NA;1;0;0;1;0;0;0;1;;;
Brazil;140;Pilot Enrichment Plant- Belo Horizonte (INB Resende);0;6;2;1975;1979;1979;1989;NA;NA;0;1;0;0;0;0;1;0;;;
Canada;20;Chalk River Site;0;1;2;1944;1944;1944;1956;NA;NA;1;0;0;1;0;0;1;0;;;
Canada;20;CRISLA Enrichment Facility;1;7;1;1990;1990;1990;1993;NA;NA;0;1;0;0;0;1;1;0;;;
Canada;20;Montreal Lab  ;1;1;1;1942;1944;1944;1946;NA;NA;1;0;0;1;0;1;1;0;;;
China;710;China Institute of Atomic Energy (Diffusion Lab);1;2;1;1955;1958;1958;1963;NA;NA;1;0;0;1;0;0;1;1;;;
China;710;China Institute of Atomic Energy (Radiochemistry Research Institute);1;1;1;-99;-99;-99;-99;NA;NA;-99;-99;0;1;0;0;1;1;;;
China;710;Plant 405 Pilot Centrifuge Plant, Hanzhong;0;3;2;-99;1985;1985;1993;NA;NA;1;0;0;-99;1;0;1;1;;;
China;710;Hanzhong, Shaanxi Uranium Enrichment Plant, Hanzhong I;0;3;3;1993;1997;1997;7777;NA;NA;0;1;0;0;0;0;1;0;;;
China;710;Hanzhong, Shaanxi Uranium Enrichment Plant, Hanzhong II;0;3;3;-99;1999;1999;7777;NA;NA;0;1;0;0;0;0;1;0;;;
China;710;Hanzhong, Shaanxi Uranium Enrichment Plant, Hanzhong III;0;3;3;2009;2011;2011;7777;NA;NA;0;1;0;0;0;0;1;0;;;
China;710;Hanzhong, Shaanxi Uranium Enrichment Plant, Hanzhong IV;-77;3;3;2012;9999;9999;9999;NA;NA;0;0;0;-99;1;0;0;0;;;
China;710;Heping (located in Jinkouhe, Sichuan Province, Plant 814);0;2;3;-99;1975;1975;7777;NA;NA;1;0;0;1;0;0;0;0;;;
China;710;Heping (located in Jinkouhe, Sichuan Province, Plant 814) – Emeishan Centrifuge Project I;-77;3;3;2011;9999;9999;9999;NA;NA;1;0;0;1;1;0;0;0;;;
China;710;Juiquan Atomic Energy Complex (Plant 404);0;1;3;-99;1970;1970;1984;NA;NA;1;0;0;1;0;0;1;0;;;
China;710;Juiquan 2 (Atomic Energy Complex);0;1;2;1965;1968;1968;1970;NA;NA;1;0;0;1;0;0;1;0;;;
China;710;Nuclear Fuel Component Plant (Pant 812, Yibin  Sichuan);0;1;3;1968;1972;1972;7777;NA;NA;1;0;0;1;0;0;1;0;;;
China;710;Lanzhou (RPP), Gansu;0;1;2;1997;2006;2006;7777;NA;NA;0;0;0;0;0;0;0;0;;;
China;710;Lanzhou 1 (China Institute of Atomic Energy Tuoli, Plant 504);0;2;3;1958;1963;1963;2000;NA;NA;1;0;0;1;0;0;1;0;;;
China;710;Lanzhou 2, Gansu;0;3;3;1997;2001;2001;7777;NA;NA;0;1;0;0;0;0;1;0;;;
China;710;Lanzhou 3 (Indigenous Centrifuge Plant I);0;3;2;2007;2010;2010;7777;NA;NA;0;0;0;0;0;0;0;0;;;
China;710;Lanzhou 3 (Indigenous Centrifuge Plant II);0;3;3;-99;2012;2012;7777;NA;NA;0;0;0;0;0;0;0;0;;;
China;710;Plant 821 (Plutonium Production Complex in Guangyuan, Sichuan);0;1;3;1969;1976;1976;1989;NA;NA;1;0;0;1;0;0;0;0;;;
Czech Republic;315;Nuclear Research Institute of Czechoslovakia, Rez;1;1;1;-99;1977;1977;1998;NA;NA;0;1;0;0;0;0;1;0;;;
Egypt;651;Hot Cell Facility at Inshas Nuclear Research Center;1;1;1;1980;1982;1982;7777;NA;NA;1;1;0;1;1;0;1;0;;;
France;220;Le Bouchet -- Lab-Scale Reprocessing Plant;0;1;1;-99;1949;1949;1951;NA;NA;0;0;0;1;0;0;0;0;;;
France;220;Areva NC La Hague – UP2 – 400 (renamed HAO facility in 1976);0;1;3;1961;1967;1967;2004;NA;NA;0;1;1;1;0;0;0;0;;;
France;220;Areva NC La Hague – UP2 – 800 ;0;1;3;1982;1994;1994;7777;NA;NA;0;1;1;0;0;0;0;0;;;
France;220;Areva NC La Hague – UP3;0;1;3;1982;1990;1990;7777;NA;NA;0;1;1;0;0;0;0;0;;;
France;220;Aster, Saclay Essonne;0;7;2;1988;1988;1988;2003;NA;NA;0;0;1;0;0;0;0;0;;;
France;220;Atelier Pilote ;0;1;2;-99;1988;1988;1997;NA;NA;0;0;1;0;0;0;0;0;;;
France;220;La Hague – AT1;0;1;2;-99;1969;1969;1979;NA;NA;0;0;1;0;0;0;0;0;;;
France;220;La Hague (Marcoule-UP1);0;1;3;1952;1958;1958;1997;NA;NA;0;0;0;1;0;0;0;0;;;
France;220;ATTILA, (FONTENAY: ATTaque d’Irradiés-combustibles-en Lits d’Alumine);0;1;2;1966;1966;1966;1975;NA;NA;0;0;0;1;1;0;0;1;;;
France;220;Plutonium Chemistry Laboratory (LCPu) -- Fontenay-aux-Roses;1;1;1;-99;1966;1966;1995;NA;NA;0;0;0;1;0;0;0;0;;;
